,v001,v002,response,v5,v9,v12,v29,v32,v33,v34,v36,v37,v105,v106,v109,v112,v113,v116,v117,v119,v120,v122,v123,v173,v174,v176,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v171.1,v172.1
283,13,28,1,1.0,1.0,,2.0,,2.0,,,,,,,,,,1.0,,6.0,1.0,8.0,1999-12-22 19:00:00,6411.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
284,13,31,0,1.0,,1.0,4.0,,1.0,2.0,1.0,,,,,,,,2.0,,2.0,3.0,,1998-04-28 20:00:00,7014.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,35",U
285,16,27,0,,,,3.0,1.0,,,,2.0,3.0,,,2.0,,,,,,,2.0,1998-04-28 20:00:00,7014.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,11",U
286,18,35,1,3.0,2.0,,8.0,,4.0,,,4.0,,,,,,,,,4.0,6.0,3.0,1999-12-22 19:00:00,6412.0,22.0,Verified,494 Moderate,494.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,business,"0,1",U
287,18,25,0,,,,2.0,,,,,2.0,,,,,,,1.0,1.0,,,4.0,1995-08-13 07:00:00,8004.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
288,19,28,0,,,,3.0,,,1.0,,2.0,,,,,,,,,2.0,,3.0,1995-08-13 07:00:00,8004.0,1505.0,Verified,099 Very Low,99.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,12",U
290,21,22,0,4.0,1.0,2.0,9.0,,3.0,,3.0,2.0,,,,,,,,,3.0,1.0,1.0,1998-04-28 20:00:00,7015.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
291,4,20,0,2.0,1.0,1.0,4.0,,2.0,,1.0,1.0,,,,,,,,,4.0,2.0,5.0,1995-08-13 07:00:00,8005.0,130.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,37",U
292,7,20,0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,1998-04-28 20:00:00,7015.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,37",U
293,9,27,0,1.0,,,3.0,,1.0,,,2.0,,,,,,,,2.0,1.0,2.0,2.0,1994-08-18 07:00:00,8365.0,239.0,Verified,238 Low,238.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
294,9,29,1,,,,2.0,,,2.0,,,6.0,7.0,27.0,3.0,3.0,5.0,,1.0,,,,1999-12-23 19:00:00,6411.0,0.0,ValidDomain,500 Moderate,500.0,4.0,29.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Not Sure,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,14",U
295,10,26,0,2.0,1.0,1.0,6.0,,2.0,,1.0,3.0,,,,,,,,,4.0,1.0,7.0,1999-12-22 19:00:00,6412.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,15",U
296,13,27,0,,,,22.0,,,22.0,,,,,1.0,,,1.0,,,,,,1998-04-28 20:00:00,7015.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
297,14,25,1,1.0,1.0,,15.0,1.0,2.0,12.0,,,,,,,,,,,4.0,,,1999-09-13 07:00:00,6513.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
298,15,24,1,1.0,1.0,,6.0,,1.0,5.0,,,,1.0,,,1.0,,1.0,14.0,6.0,7.0,6.0,1998-10-31 07:00:00,6830.0,236.0,ValidDomain,289 Low,289.0,4.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Not Sure,Yes,Low,4.0,510.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
299,15,24,1,,,,,,,,,,,1.0,,,1.0,,1.0,2.0,3.0,,15.0,1996-06-22 08:00:00,7691.0,249.0,Verified,287 Low,287.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
300,16,42,0,,,,18.0,2.0,,16.0,,,,,,,,,1.0,4.0,1.0,,1.0,1995-08-13 07:00:00,8005.0,263.0,Verified,234 Low,234.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,15",U
301,19,26,0,,,,3.0,1.0,,1.0,,1.0,,,,,,,,3.0,2.0,,3.0,1995-08-13 07:00:00,8006.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
302,21,33,1,1.0,,,20.0,7.0,1.0,8.0,1.0,3.0,1.0,,3.0,1.0,,2.0,,6.0,1.0,1.0,7.0,1998-04-28 20:00:00,7016.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
304,8,22,0,2.0,,1.0,3.0,,1.0,,1.0,,,2.0,,,1.0,,3.0,,,,,1998-04-28 20:00:00,7016.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
305,11,31,0,1.0,,1.0,5.0,1.0,1.0,,1.0,2.0,,,,,,,2.0,5.0,,,,1999-12-22 19:00:00,6413.0,238.0,Verified,288 Low,288.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,24",U
306,12,40,0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1995-08-13 07:00:00,8006.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
307,14,36,0,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,2.0,,2.0,1995-08-13 07:00:00,8006.0,92.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
308,15,26,0,1.0,1.0,,5.0,,1.0,,,4.0,,1.0,,,1.0,,,,1.0,,7.0,1995-08-13 07:00:00,8009.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
309,15,38,0,,,,7.0,2.0,,4.0,,1.0,,1.0,6.0,,1.0,2.0,,1.0,1.0,,1.0,1995-08-13 07:00:00,8006.0,1206.0,Verified,050 Very Low,50.0,2.0,11.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",Y
310,5,29,0,3.0,2.0,,12.0,,5.0,3.0,,3.0,,,,,,,,,5.0,2.0,3.0,1995-08-13 07:00:00,8007.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
311,9,24,0,,,,3.0,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,3.0,1995-08-13 07:00:00,8007.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
312,10,21,0,1.0,1.0,,1.0,,1.0,,,,,,,,,,2.0,,,1.0,,1995-08-13 07:00:00,8007.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
313,10,37,0,,,,2.0,,,2.0,,,,,,,,,,,4.0,,2.0,1999-09-13 07:00:00,6517.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
314,16,21,1,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,4.0,,1995-08-13 07:00:00,8007.0,8.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
315,16,23,1,,,,,,,,,,,,,,,,,,,1.0,,1995-08-13 07:00:00,8007.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
316,18,42,1,,,,,,,,,,25.0,3.0,5.0,2.0,1.0,2.0,4.0,,,,,1995-08-13 07:00:00,8007.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
317,19,25,0,,,,17.0,,,14.0,,3.0,,,,,,,1.0,,1.0,,4.0,1999-12-22 19:00:00,6414.0,8.0,Verified,497 Moderate,497.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
318,10,20,1,1.0,,,1.0,,,,,,,,,,,,,,,,,1999-12-22 19:00:00,6415.0,3.0,Verified,499 Moderate,499.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
319,14,26,0,,,,16.0,,,16.0,,,5.0,4.0,5.0,2.0,1.0,2.0,,1.0,,,,1995-08-13 07:00:00,8008.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,13",U
320,15,24,0,2.0,,2.0,2.0,,,,2.0,,,,,,,,1.0,,,4.0,,1998-04-28 20:00:00,7018.0,7.0,Verified,498 Moderate,498.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
321,8,63,0,,,,9.0,1.0,,7.0,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,,1.0,2.0,,2.0,1998-04-28 20:00:00,7019.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
322,9,25,0,,,,16.0,12.0,,,,4.0,,3.0,1.0,,1.0,1.0,,13.0,6.0,2.0,19.0,1998-04-28 20:00:00,7019.0,142.0,Verified,461 Moderate,461.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
323,9,24,0,,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,,,1995-08-13 07:00:00,8009.0,1854.0,Verified,094 Very Low,94.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",N
324,10,27,0,2.0,,2.0,9.0,2.0,2.0,,2.0,3.0,,,,,,,,,,1.0,1.0,1998-04-28 20:00:00,7019.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
325,13,70,1,,,,,,,,,,,,,,,,1.0,,2.0,5.0,,1998-04-28 20:00:00,7019.0,18.0,Verified,495 Moderate,495.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
326,13,34,0,1.0,1.0,,4.0,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,1995-08-13 07:00:00,8009.0,3012.0,Verified,079 Very Low,79.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
327,14,28,0,1.0,1.0,,2.0,,2.0,,,,18.0,8.0,21.0,2.0,2.0,1.0,,,,,1.0,2000-04-03 20:00:00,6313.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
328,17,35,0,,,,2.0,,,2.0,,,3.0,10.0,12.0,1.0,2.0,2.0,,1.0,,,,1996-06-22 08:00:00,7695.0,311.0,Verified,276 Low,276.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
329,19,26,0,,,,2.0,1.0,,,,1.0,1.0,,,1.0,,,,3.0,4.0,4.0,3.0,1995-08-13 07:00:00,8009.0,2490.0,Verified,086 Very Low,86.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
330,20,20,0,2.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,4.0,3.0,1.0,3.0,3.0,2.0,,,1.0,,1996-06-22 08:00:00,7694.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
331,8,21,0,,,,4.0,,,,,4.0,,,,,,,,,,,9.0,,,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
332,9,39,0,,,,3.0,2.0,,1.0,,,,2.0,,,1.0,,,3.0,,,,1995-08-13 07:00:00,8010.0,2261.0,Verified,089 Very Low,89.0,2.0,14.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
333,11,28,0,3.0,2.0,,4.0,,2.0,,,1.0,,,,,,,1.0,,3.0,2.0,1.0,1995-08-13 07:00:00,8010.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
334,11,23,1,1.0,,1.0,3.0,,,1.0,2.0,,,,,,,,,,,3.0,,1998-04-28 20:00:00,7020.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
335,12,60,0,1.0,,1.0,23.0,3.0,1.0,15.0,1.0,3.0,,,1.0,,,1.0,,6.0,6.0,2.0,3.0,1998-04-28 20:00:00,7020.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
336,13,23,1,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1996-06-22 08:00:00,7695.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
337,14,43,1,,,,,,,,,,2.0,,3.0,2.0,,3.0,1.0,,,,,1999-10-07 20:00:00,6493.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,business,"0,1",U
338,15,28,1,,,,,,,,,,,2.0,1.0,,2.0,1.0,1.0,,,3.0,,1995-08-13 07:00:00,8010.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,17",U
339,7,41,0,1.0,,1.0,11.0,,,10.0,1.0,,2.0,,3.0,1.0,,2.0,3.0,1.0,,,,1995-08-13 07:00:00,8011.0,187.0,Verified,247 Low,247.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
340,9,28,1,1.0,,1.0,14.0,6.0,,5.0,1.0,2.0,,,,,,,1.0,5.0,,,4.0,1995-08-13 07:00:00,8011.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
341,11,37,1,2.0,1.0,,2.0,,1.0,,,1.0,3.0,13.0,2.0,2.0,3.0,2.0,,,7.0,,7.0,1998-04-28 20:00:00,7021.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
342,12,20,0,1.0,,1.0,6.0,,2.0,,1.0,3.0,,,,,,,,,,,2.0,1995-08-13 07:00:00,8011.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
343,14,31,0,3.0,1.0,,8.0,1.0,3.0,2.0,,1.0,,,,,,,,2.0,2.0,,,1995-01-18 07:00:00,8218.0,3466.0,Certified,073 Very Low,73.0,1.0,13.0,3.0,Lower Fraud Risk,1.0,Fraud Score 1 to 100,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,27",N
344,14,27,0,,,,8.0,3.0,,5.0,,,,,,,,,2.0,1.0,,,,1995-08-13 07:00:00,8011.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
345,14,21,1,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,4.0,1.0,1998-04-28 20:00:00,7021.0,14.0,Verified,496 Moderate,496.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
346,15,22,1,1.0,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,10.0,,1999-05-25 08:00:00,6629.0,17.0,Verified,495 Moderate,495.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
347,16,27,0,,,,7.0,,,7.0,,,,,,,,,2.0,,,,,1995-08-13 07:00:00,8011.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,2.0,2.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
348,16,23,0,1.0,,,10.0,4.0,2.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,5.0,1998-04-28 20:00:00,7022.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
349,16,29,1,2.0,1.0,1.0,2.0,,1.0,,1.0,,,,,,,,3.0,1.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,16,24,0,2.0,,,7.0,,,2.0,3.0,,5.0,6.0,10.0,1.0,2.0,2.0,,,,4.0,,1995-08-13 07:00:00,8011.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
351,18,22,1,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,,13.0,,1996-06-22 08:00:00,7697.0,13.0,Verified,496 Moderate,496.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
352,20,26,1,1.0,1.0,,7.0,,3.0,3.0,,1.0,,,2.0,,,2.0,,,3.0,,3.0,1995-08-13 07:00:00,8011.0,0.0,Verified,500 Moderate,500.0,2.0,8.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
