,v001,v002,response,v4,v5,v14,v24,v25,v28,v29,v33,v34,v37,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
262,11,33,0,2150,1.0,2164.1,2150,80168,11741.1,38.0,1.0,30.0,4.0,1.0,1.0,1995-08-13 07:00:00,8003.0,2016-12-23 07:00:00,200.0,2017-07-11 09:24:37,verified,245 low,245.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
263,12,21,1,1300,1.0,1300,1300,400,1700,4.0,1.0,1.0,2.0,1.0,2.0,1995-08-13 07:00:00,8003.0,2017-07-11 11:27:55,0.0,2017-07-11 11:27:55,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
265,12,47,1,2400,1.0,2558.4,,,,1.0,,,,,,1999-10-07 20:00:00,6486.0,2017-07-11 11:22:06,0.0,2017-07-11 11:22:06,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
266,13,30,0,4400,2.0,4501.6,3890,11800,,12.0,3.0,6.0,,3.0,,1999-10-07 20:00:00,6486.0,2017-07-11 12:32:28,0.0,2017-07-11 12:32:28,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
267,14,28,0,,,,750,13125,450,20.0,2.0,15.0,2.0,1.0,1.0,1999-12-22 19:00:00,6410.0,2017-07-11 12:13:34,0.0,2017-07-11 12:13:34,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
268,15,32,0,,,,3500,,1000,3.0,2.0,,1.0,6.0,,2000-04-03 20:00:00,6307.0,2017-07-11 13:45:23,0.0,2017-07-11 13:45:23,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
269,16,22,0,1000,1.0,1000,1000,,,1.0,1.0,,,4.0,,1995-08-13 07:00:00,8003.0,2016-10-18 10:30:13,265.0,2016-10-18 10:30:13,verified,234 low,234.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
270,17,38,0,,,,,700,,2.0,,1.0,,,1.0,1995-01-18 07:00:00,8210.0,2004-10-19 19:41:51,4647.0,2017-07-11 15:46:53,certified,058 very low,58.0,1.0,13.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,p
271,17,25,0,,,,5400,18350,9200,22.0,2.0,12.0,3.0,1.0,1.0,1995-08-13 07:00:00,8003.0,2017-07-11 15:43:44,0.0,2017-07-11 15:43:44,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
272,17,22,0,140,1.0,112.07,1840,,1900,5.0,2.0,,2.0,8.0,6.0,1995-08-13 07:00:00,8003.0,2017-07-11 16:00:39,0.0,2017-07-11 16:00:39,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,p
274,19,20,0,1000,1.0,1000,400,,1000,3.0,1.0,,1.0,,1.0,1998-04-28 20:00:00,7013.0,2017-07-11 17:26:18,0.0,2017-07-11 17:26:18,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,n
275,20,31,0,950,1.0,950,,3800,,5.0,,2.0,,1.0,,1999-12-22 19:00:00,6410.0,2017-07-11 18:44:11,0.0,2017-07-11 18:44:11,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
277,2,27,1,,,,6884.3,,761.33,7.0,3.0,,1.0,15.0,3.0,1999-12-22 19:00:00,6411.0,2016-10-03 12:22:24,281.0,2017-05-21 15:08:53,verified,281 low,281.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
279,8,29,0,2500,1.0,2500,1500,,,2.0,1.0,,,1.0,,1995-08-13 07:00:00,8004.0,2017-07-12 06:20:27,0.0,2017-07-12 06:20:27,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,p
282,11,34,0,,,,,2050,500,3.0,,2.0,1.0,3.0,1.0,2003-06-27 07:00:00,5129.0,2017-07-12 10:20:16,0.0,2017-07-12 10:20:16,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
283,13,28,1,3255.03,1.0,2983.34,5039.33,,,2.0,2.0,,,6.0,8.0,1999-12-22 19:00:00,6411.0,2017-07-12 15:04:59,0.0,2017-07-12 15:04:58,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
284,13,31,0,2500,1.0,2500,3000,4200,,4.0,1.0,2.0,,2.0,,1998-04-28 20:00:00,7014.0,2017-07-12 11:57:30,0.0,2017-07-12 11:57:30,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
286,18,35,1,4500,3.0,4626,7500,,4000,8.0,4.0,,4.0,4.0,3.0,1999-12-22 19:00:00,6412.0,2017-06-20 10:07:17,22.0,2017-06-20 10:07:17,verified,494 moderate,494.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,business,u
290,21,22,0,5005.49,4.0,5012.09,1641.1,,1300,9.0,3.0,,2.0,3.0,1.0,1998-04-28 20:00:00,7015.0,2017-07-13 09:27:18,0.0,2017-07-13 09:27:17,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
291,4,20,0,2100,2.0,2221.98,1100,,400,4.0,2.0,,1.0,4.0,5.0,1995-08-13 07:00:00,8005.0,2017-03-04 00:47:01,130.0,2017-03-04 00:47:02,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
293,9,27,0,500,1.0,500,500,,1700,3.0,1.0,,2.0,1.0,2.0,1994-08-18 07:00:00,8365.0,2016-11-15 07:00:00,239.0,2017-02-09 17:34:13,verified,238 low,238.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
294,9,29,1,,,,,2200,,2.0,,2.0,,,,1999-12-23 19:00:00,6411.0,2017-07-13 12:23:28,0.0,2017-07-13 12:23:26,validdomain,500 moderate,500.0,4.0,29.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
295,10,26,0,4560.83,2.0,3420.83,3600,,2219,6.0,2.0,,3.0,4.0,7.0,1999-12-22 19:00:00,6412.0,2017-07-13 09:08:35,0.0,2017-07-13 09:08:34,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
297,14,25,1,200,1.0,249.08,300,13390,,15.0,2.0,12.0,,4.0,,1999-09-13 07:00:00,6513.0,2017-07-13 12:25:41,0.0,2017-07-13 12:25:39,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
298,15,24,1,2000,1.0,2024.1,2000,2600,,6.0,1.0,5.0,,6.0,6.0,1998-10-31 07:00:00,6830.0,2016-11-18 16:41:41,236.0,2017-02-23 17:57:09,validdomain,289 low,289.0,4.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,not sure,yes,low,4.0,510.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
300,16,42,0,,,,,12550,,18.0,,16.0,,1.0,1.0,1995-08-13 07:00:00,8005.0,2016-10-23 07:00:00,263.0,2017-07-13 15:08:20,verified,234 low,234.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
301,19,26,0,,,,,800,1000,3.0,,1.0,1.0,2.0,3.0,1995-08-13 07:00:00,8006.0,2017-07-14 07:15:46,0.0,2017-07-14 07:15:45,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
302,21,33,1,2000,1.0,1715,1282.2,3238,4986.28,20.0,1.0,8.0,3.0,1.0,7.0,1998-04-28 20:00:00,7016.0,2017-07-14 05:16:10,0.0,2017-07-14 05:16:10,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
304,8,22,0,1100,2.0,1106.4,800,,,3.0,1.0,,,,,1998-04-28 20:00:00,7016.0,2017-07-14 12:45:07,0.0,2017-07-14 12:45:07,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
305,11,31,0,7400,1.0,7446.3,4600,,2050,5.0,1.0,,2.0,,,1999-12-22 19:00:00,6413.0,2016-11-17 07:00:00,238.0,2017-02-09 17:38:49,verified,288 low,288.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
307,14,36,0,,,,500,,,1.0,1.0,,,2.0,2.0,1995-08-13 07:00:00,8006.0,2017-04-12 13:12:13,92.0,2017-04-12 13:12:14,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
308,15,26,0,2936.38,1.0,2814.07,2936.38,,600,5.0,1.0,,4.0,1.0,7.0,1995-08-13 07:00:00,8009.0,2017-07-17 09:46:45,0.0,2017-07-17 09:46:44,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
309,15,38,0,,,,,3800,480,7.0,,4.0,1.0,1.0,1.0,1995-08-13 07:00:00,8006.0,2014-03-25 14:42:43,1206.0,2016-06-06 10:49:07,verified,050 very low,50.0,2.0,11.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,y
310,5,29,0,1913.8,3.0,1700.2,3873.95,3100,4150,12.0,5.0,3.0,3.0,5.0,3.0,1995-08-13 07:00:00,8007.0,2017-07-15 09:52:32,0.0,2017-07-15 09:52:32,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
311,9,24,0,,,,500,400,100,3.0,1.0,1.0,1.0,1.0,3.0,1995-08-13 07:00:00,8007.0,2017-07-15 07:48:28,0.0,2017-07-15 07:48:28,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
312,10,21,0,800,1.0,800,800,,,1.0,1.0,,,,,1995-08-13 07:00:00,8007.0,2017-07-14 14:28:53,0.0,2017-07-14 14:28:53,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
314,16,21,1,800,1.0,800,,,,1.0,,,,,,1995-08-13 07:00:00,8007.0,2017-07-06 12:21:32,8.0,2017-07-06 12:21:31,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
319,14,26,0,,,,,23200,,16.0,,16.0,,,,1995-08-13 07:00:00,8008.0,2017-07-16 12:33:01,0.0,2017-07-16 12:33:01,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
320,15,24,0,700,2.0,710,,,,2.0,,,,,,1998-04-28 20:00:00,7018.0,2017-07-08 11:05:25,7.0,2017-07-08 11:05:24,verified,498 moderate,498.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
321,8,63,0,,,,,6250,1000,9.0,,7.0,1.0,2.0,2.0,1998-04-28 20:00:00,7019.0,2017-07-17 06:48:04,0.0,2017-07-17 06:48:04,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
322,9,25,0,,,,,,8250,16.0,,,4.0,6.0,19.0,1998-04-28 20:00:00,7019.0,2017-02-24 12:52:01,142.0,2017-02-24 12:52:01,verified,461 moderate,461.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
324,10,27,0,3100,2.0,2707.3,1100,,4750,9.0,2.0,,3.0,,1.0,1998-04-28 20:00:00,7019.0,2017-07-17 12:58:00,0.0,2017-07-17 12:57:59,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
326,13,34,0,1000,1.0,1000,1000,2900,750,4.0,1.0,2.0,1.0,1.0,1.0,1995-08-13 07:00:00,8009.0,2009-04-17 16:41:38,3012.0,2017-07-17 11:14:21,verified,079 very low,79.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
327,14,28,0,3000,1.0,3022.8,4000,,,2.0,2.0,,,,1.0,2000-04-03 20:00:00,6313.0,2017-07-17 12:58:03,0.0,2017-07-17 12:58:03,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
328,17,35,0,,,,,2300,,2.0,,2.0,,,,1996-06-22 08:00:00,7695.0,2016-09-09 11:33:30,311.0,2016-09-09 11:33:30,verified,276 low,276.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
329,19,26,0,,,,,,1800,2.0,,,1.0,4.0,3.0,1995-08-13 07:00:00,8009.0,2010-09-22 07:00:00,2490.0,2017-07-17 17:57:44,verified,086 very low,86.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
330,20,20,0,1160,2.0,1170,800,,,2.0,1.0,,,,,1996-06-22 08:00:00,7694.0,2017-07-17 18:37:39,0.0,2017-07-17 18:37:39,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
333,11,28,0,6900,3.0,6932.67,3000,,3000,4.0,2.0,,1.0,3.0,1.0,1995-08-13 07:00:00,8010.0,2017-07-18 09:58:43,0.0,2017-07-18 09:58:43,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
334,11,23,1,754.51,1.0,754.51,,300,,3.0,,1.0,,,,1998-04-28 20:00:00,7020.0,2017-07-18 13:16:47,0.0,2017-07-18 06:26:43,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
335,12,60,0,1000,1.0,1078,1000,27950,7598.25,23.0,1.0,15.0,3.0,6.0,3.0,1998-04-28 20:00:00,7020.0,2017-07-18 15:13:19,0.0,2017-07-18 15:13:19,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
339,7,41,0,100,1.0,100.8,,8000,,11.0,,10.0,,,,1995-08-13 07:00:00,8011.0,2017-01-13 06:12:39,187.0,2017-07-19 06:12:37,verified,247 low,247.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
340,9,28,1,1400,1.0,1410,,3400,2500,14.0,,5.0,2.0,,4.0,1995-08-13 07:00:00,8011.0,2017-07-19 08:00:27,0.0,2017-07-19 08:00:27,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
341,11,37,1,1892.15,2.0,1759.35,892.15,,1000,2.0,1.0,,1.0,7.0,7.0,1998-04-28 20:00:00,7021.0,2017-07-19 10:17:02,0.0,2017-07-19 10:17:02,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
342,12,20,0,2000,1.0,2016.4,2600,,2300,6.0,2.0,,3.0,,2.0,1995-08-13 07:00:00,8011.0,2017-07-19 11:27:24,0.0,2017-07-19 11:27:24,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
343,14,31,0,2800,3.0,2806.5,1800,2600,200,8.0,3.0,2.0,1.0,2.0,,1995-01-18 07:00:00,8218.0,2008-01-21 13:58:04,3466.0,2017-07-19 15:20:28,certified,073 very low,73.0,1.0,13.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,n
345,14,21,1,400,1.0,410.3,,,400,1.0,,,1.0,1.0,1.0,1998-04-28 20:00:00,7021.0,2017-07-04 12:24:46,14.0,2017-07-04 12:24:46,verified,496 moderate,496.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
346,15,22,1,1000,1.0,1000,,,,1.0,,,,,,1999-05-25 08:00:00,6629.0,2017-07-01 11:20:41,17.0,2017-07-01 11:20:41,verified,495 moderate,495.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
348,16,23,0,1300,1.0,1310.7,4800,300,2770,10.0,2.0,1.0,2.0,,5.0,1998-04-28 20:00:00,7022.0,2017-07-20 08:51:53,0.0,2017-07-20 08:51:53,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
350,16,24,0,4464.39,2.0,4479.99,,1000,,7.0,,2.0,,,,1995-08-13 07:00:00,8011.0,2017-07-19 14:56:53,0.0,2017-07-19 14:56:53,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
352,20,26,1,1000,1.0,1000,1613.23,3300,1000,7.0,3.0,3.0,1.0,3.0,3.0,1995-08-13 07:00:00,8011.0,2017-07-19 18:33:36,0.0,2017-07-19 18:33:36,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
353,21,24,0,,,,,,700,3.0,,,3.0,1.0,3.0,1995-08-13 07:00:00,8012.0,2017-07-20 09:22:47,0.0,2017-07-20 09:22:46,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
356,11,23,1,1500,1.0,1500,1500,11450,100,14.0,1.0,12.0,1.0,1.0,1.0,1999-12-22 19:00:00,6419.0,2017-07-20 09:23:29,0.0,2017-07-20 09:23:28,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
357,11,30,0,1000,1.0,1270.31,1000,11124.32,1000,16.0,1.0,14.0,1.0,4.0,1.0,1995-08-13 07:00:00,8012.0,2016-08-25 12:55:02,328.0,2016-08-25 12:55:02,verified,223 low,223.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
358,11,29,0,6000,1.0,6048.2,,20050,5500,15.0,,10.0,3.0,1.0,4.0,1995-08-13 07:00:00,8012.0,2017-07-20 10:03:26,0.0,2017-07-20 10:03:26,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
360,20,41,0,1900,1.0,1902.19,1900,,,1.0,1.0,,,1.0,4.0,2001-06-05 13:00:00,5888.0,2017-07-20 18:31:38,0.0,2017-07-20 18:31:37,validdomain,500 moderate,500.0,4.0,29.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
361,20,27,1,893,2.0,233.92,,7893,,9.0,,9.0,,3.0,3.0,1999-09-13 07:00:00,6521.0,2017-06-22 13:32:54,28.0,2017-06-22 13:32:53,verified,492 moderate,492.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
362,22,23,1,,,,,1300,,5.0,,2.0,,,3.0,1995-08-13 07:00:00,8013.0,2011-05-10 07:00:00,2263.0,2017-07-17 12:51:11,verified,089 very low,89.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
364,7,31,1,2000,2.0,2284.25,2000,,1100,3.0,2.0,,1.0,5.0,,1999-09-13 07:00:00,6521.0,2017-06-22 09:58:40,28.0,2017-06-22 09:58:39,verified,492 moderate,492.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
365,8,22,1,800,1.0,806.6,,,,2.0,,,,,,2010-08-21 07:00:00,2526.0,2017-06-24 17:31:36,26.0,2017-06-24 17:31:36,verified,492 moderate,492.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
